stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,wheelchair_boarding,h3_7,h3_8,h3_9,h3_10
7130,57062.0,Eastbound 96 Ave @ 198 St,,49.176926,-122.673076,BUS ZN,,0,,1,8728ded53ffffff,8828ded531fffff,8928ded530fffff,8a28ded530cffff
7132,61487.0,Southbound 200 St @ 9200 Block,,49.172395,-122.668227,BUS ZN,,0,,1,8728ded53ffffff,8828ded531fffff,8928ded531bffff,8a28ded531affff
7136,57068.0,Eastbound 80 Ave @ 200 St,,49.148143,-122.666432,BUS ZN,,0,,1,8728ded50ffffff,8828ded50dfffff,8928ded50d7ffff,8a28ded50d4ffff
7137,57069.0,Southbound 202A St @ 7700 Block,,49.142742,-122.66158,BUS ZN,,0,,1,8728ded54ffffff,8828ded547fffff,8928ded546bffff,8a28ded546a7fff
7138,57070.0,Southbound 200 St @ 80 Ave,,49.147449,-122.668434,BUS ZN,,0,,1,8728ded50ffffff,8828ded509fffff,8928ded508bffff,8a28ded508b7fff
7139,57071.0,Southbound 200 St @ 7500 Block,,49.140474,-122.668429,BUS ZN,,0,,1,8728ded54ffffff,8828ded547fffff,8928ded5477ffff,8a28ded54747fff
714,50707.0,Westbound E 41 Ave @ Inverness St,,49.232846,-123.080303,BUS ZN,,0,,1,8728de8d4ffffff,8828de8d4bfffff,8928de8d4a7ffff,8a28de8d4a77fff
7140,57072.0,Southbound 200 St @ 72 Ave,,49.133118,-122.668534,BUS ZN,,0,,1,8728ded54ffffff,8828ded541fffff,8928ded5403ffff,8a28ded54027fff
7141,57073.0,Southbound 200 St @ 70 Ave,,49.129545,-122.668533,BUS ZN,,0,,1,8728ded54ffffff,8828ded549fffff,8928ded548bffff,8a28ded5488ffff
7142,57074.0,Southbound 200 St @ 68 Ave,,49.125763,-122.668626,BUS ZN,,0,,1,8728ded54ffffff,8828ded549fffff,8928ded549bffff,8a28ded549affff
7143,57075.0,Southbound 200 St @ Willoughby Way,,49.122272,-122.668694,BUS ZN,,0,,1,8728ded72ffffff,8828ded727fffff,8928ded7267ffff,8a28ded72297fff
7144,57076.0,Westbound Willowbrook Dr @ 200 St,,49.116843,-122.67023,BUS ZN,,0,,1,8728ded72ffffff,8828ded721fffff,8928ded7207ffff,8a28ded7205ffff
7145,57077.0,Westbound Willowbrook Dr @ 198 St,,49.116872,-122.673698,BUS ZN,,0,,1,8728ded72ffffff,8828ded723fffff,8928ded7233ffff,8a28ded72337fff
7146,57078.0,Eastbound Fraser Hwy @ 200 St,,49.107806,-122.666566,BUS ZN,,0,,1,8728ded72ffffff,8828ded729fffff,8928ded729bffff,8a28ded7298ffff
7147,57079.0,Eastbound Fraser Hwy @ 201A St,,49.106396,-122.663417,BUS ZN,,0,,1,8728ded72ffffff,8828ded767fffff,8928ded766fffff,8a28ded766cffff
7148,57080.0,Southbound 203 St @ Michaud Cres,,49.102377,-122.659804,BUS ZN,,0,,1,8728ded76ffffff,8828ded767fffff,8928ded7663ffff,8a28ded76637fff
7149,57081.0,Southbound 203 St @ 54 Ave,,49.100069,-122.659892,BUS ZN,,0,,1,8728ded76ffffff,8828ded767fffff,8928ded7673ffff,8a28ded76717fff
715,50708.0,Westbound E 41 Ave @ Windsor St,,49.23291,-123.085282,BUS ZN,,0,,1,8728de8d5ffffff,8828de8f37fffff,8928de8d5d3ffff,8a28de8f369ffff
7150,57082.0,Southbound 203 St @ 53 Ave,,49.097862,-122.659972,BUS ZN,,0,,1,8728ded76ffffff,8828ded761fffff,8928ded760bffff,8a28ded76097fff
7151,57083.0,Southbound 203 St @ 50 Ave,,49.093262,-122.660007,BUS ZN,,0,,1,8728ded76ffffff,8828ded76dfffff,8928ded761bffff,8a28ded76c5ffff
7152,57084.0,Eastbound Grade Cres @ 203 St,,49.08954,-122.658805,BUS ZN,,0,,1,8728ded76ffffff,8828ded76dfffff,8928ded76d7ffff,8a28ded76d57fff
7153,57085.0,Eastbound Grade Cres @ 206 St,,49.08807,-122.652263,BUS ZN,,0,,1,8728ded2bffffff,8828ded2bbfffff,8928ded2ba7ffff,8a28ded2ba5ffff
7154,57086.0,Eastbound Grade Cres @ 207B St,,49.087703,-122.648218,BUS ZN,,0,,1,8728ded2bffffff,8828ded2bbfffff,8928ded2bafffff,8a28ded2bae7fff
7155,57087.0,Southbound 208 St @ 46A Ave,,49.086173,-122.647076,BUS ZN,,0,,1,8728ded2bffffff,8828ded2bbfffff,8928ded2ba3ffff,8a28ded2ba17fff
7156,57088.0,Southbound 208 St @ 44 Ave,,49.082488,-122.647209,BUS ZN,,0,,1,8728ded2bffffff,8828ded2bbfffff,8928ded2bb3ffff,8a28ded2bb37fff
7157,57089.0,Southbound 208 St @ 42 Ave,,49.077744,-122.647403,BUS ZN,,0,,1,8728ded29ffffff,8828ded295fffff,8928ded295bffff,8a28ded29587fff
